ncessch,ncesag,county,zip,locale,title1_status,total_n,fr_lnch_n,red_lnch_n,pupil_tch_ratio,ipr_est,leaid,st_schid,lea_name,lea_cwiftest,sch_name,p_american_indian_alaska_native,p_asian,p_native_hawaiian_pacific_islander,p_black_african_american,p_hispanic_latino,p_white,p_multiracial,fr_lnch_prop,red_lnch_prop,enrl_grd,percent_level_4,percent_level_3,percent_level_2,percent_level_1,sch_percent_level_4,sch_percent_level_3,sch_percent_level_2,sch_percent_level_1,under_25,under_50,under_75,under_100,under_200,over_200,percent_less_than_9th_grade,percent_high_school_graduate_or_higher,percent_bachelors_degree_or_higher,percent_associates_degree,percent_graduate_or_professional_degree,percent_bachelors_degree,percent_high_school_graduate,percent_9th_to_12th_grade_no_diploma,percent_some_college,median_income,median_rent
411158001727,4111580,Lane County,97424,32-Town: Distant,6-Not eligible for either TAS or SWP,204,NA,NA,41.72,215,4111580,4555,South Lane School District,0.879,Academy for Character Education,0,0.01047,0,0.00524,0.06283,0.86911,0.05236,NA,NA,5,11.1,44.4,44.4,0,14.5,51.6,22.6,11.3,0.26538716082064856,0.2501654533421575,0.18795499669093316,0.13898080741230973,0.13633355393778954,0.021178027796161483,3.5,88.7,18.7,9.2,6.9,9.1,32.9,9,31.8,23662,921
411158001727,4111580,Lane County,97424,32-Town: Distant,6-Not eligible for either TAS or SWP,204,NA,NA,41.72,215,4111580,4555,South Lane School District,0.879,Academy for Character Education,0,0.01047,0,0.00524,0.06283,0.86911,0.05236,NA,NA,6,11.1,33.3,44.4,11.1,14.5,51.6,22.6,11.3,0.26538716082064856,0.2501654533421575,0.18795499669093316,0.13898080741230973,0.13633355393778954,0.021178027796161483,3.5,88.7,18.7,9.2,6.9,9.1,32.9,9,31.8,23662,921
411158001727,4111580,Lane County,97424,32-Town: Distant,6-Not eligible for either TAS or SWP,204,NA,NA,41.72,215,4111580,4555,South Lane School District,0.879,Academy for Character Education,0,0.01047,0,0.00524,0.06283,0.86911,0.05236,NA,NA,7,0,70,10,20,14.5,51.6,22.6,11.3,0.26538716082064856,0.2501654533421575,0.18795499669093316,0.13898080741230973,0.13633355393778954,0.021178027796161483,3.5,88.7,18.7,9.2,6.9,9.1,32.9,9,31.8,23662,921
411158001727,4111580,Lane County,97424,32-Town: Distant,6-Not eligible for either TAS or SWP,204,NA,NA,41.72,215,4111580,4555,South Lane School District,0.879,Academy for Character Education,0,0.01047,0,0.00524,0.06283,0.86911,0.05236,NA,NA,8,11.1,77.8,11.1,0,14.5,51.6,22.6,11.3,0.26538716082064856,0.2501654533421575,0.18795499669093316,0.13898080741230973,0.13633355393778954,0.021178027796161483,3.5,88.7,18.7,9.2,6.9,9.1,32.9,9,31.8,23662,921
411167001641,4111670,Lane County,97477,22-Suburb: Mid-size,6-Not eligible for either TAS or SWP,259,88,11,16.1,184,4111670,4440,Springfield School District,0.88,Academy of Arts and Academics,0,0.00452,0.00452,0,0.07692,0.81448,0.09955,0.33976833976833976,0.04247104247104247,NA,NA,NA,NA,NA,50,31.8,14.8,3.4,0.21608196212356412,0.26886060229742315,0.17913691400186277,0.14063955293387148,0.16516609748525302,0.03011487115802546,3.3,89.2,20.1,11.3,6.2,12,28.6,10.1,31.2,23662,921
411353001714,4113530,Marion County,97071,31-Town: Fringe,5-Eligible for Title I SWP provides SWP program,275,194,18,17.19,266,4113530,4540,Woodburn School District,0.914,Academy of International Studies (at Woodburn),0,0.00319,0,0.00319,0.9393,0.04153,0.01278,0.7054545454545454,0.06545454545454546,NA,NA,NA,NA,NA,12.5,50,20.8,16.7,0.24664310954063604,0.3441696113074205,0.19434628975265017,0.10565371024734982,0.09540636042402827,0.013780918727915195,17,72.8,15.4,5.9,4.6,9,25.4,12.6,21.6,25685,879
410474000530,4104740,Lane County,97405,12-City: Mid-size,6-Not eligible for either TAS or SWP,460,149,35,19.74,326,4104740,503,Eugene School District,0.879,Adams Elementary School,0.00421,0.01684,0.00421,0.01263,0.08842,0.79789,0.07579,0.3239130434782609,0.07608695652173914,3,23.4,28.1,28.1,20.3,36.3,24.5,20.1,19.1,0.19665585225854754,0.1761916645869728,0.13825804841527328,0.12103818317943599,0.2530571499875218,0.11479910157224857,1.2,95.2,53.6,7.9,27.7,29.3,13.1,2.4,22,23662,921
410474000530,4104740,Lane County,97405,12-City: Mid-size,6-Not eligible for either TAS or SWP,460,149,35,19.74,326,4104740,503,Eugene School District,0.879,Adams Elementary School,0.00421,0.01684,0.00421,0.01263,0.08842,0.79789,0.07579,0.3239130434782609,0.07608695652173914,4,37.3,20.9,17.9,23.9,36.3,24.5,20.1,19.1,0.19665585225854754,0.1761916645869728,0.13825804841527328,0.12103818317943599,0.2530571499875218,0.11479910157224857,1.2,95.2,53.6,7.9,27.7,29.3,13.1,2.4,22,23662,921
410474000530,4104740,Lane County,97405,12-City: Mid-size,6-Not eligible for either TAS or SWP,460,149,35,19.74,326,4104740,503,Eugene School District,0.879,Adams Elementary School,0.00421,0.01684,0.00421,0.01263,0.08842,0.79789,0.07579,0.3239130434782609,0.07608695652173914,5,46.6,24.7,15.1,13.7,36.3,24.5,20.1,19.1,0.19665585225854754,0.1761916645869728,0.13825804841527328,0.12103818317943599,0.2530571499875218,0.11479910157224857,1.2,95.2,53.6,7.9,27.7,29.3,13.1,2.4,22,23662,921
410348000032,4103480,Benton County,97333,13-City: Small,6-Not eligible for either TAS or SWP,441,99,25,21.41,454,4103480,27,Corvallis School District,0.875,Adams Elementary School,0.00465,0.07442,0,0.01163,0.08605,0.72326,0.1,0.22448979591836735,0.05668934240362812,3,32.4,22.5,28.2,16.9,33.8,31,17.1,18.1,0.22555910543130991,0.20319488817891374,0.13929712460063898,0.11246006389776358,0.22939297124600638,0.0900958466453674,1.3,95.3,54.9,7.3,22.6,31.3,16.5,2.8,18.6,23648,962
410348000032,4103480,Benton County,97333,13-City: Small,6-Not eligible for either TAS or SWP,441,99,25,21.41,454,4103480,27,Corvallis School District,0.875,Adams Elementary School,0.00465,0.07442,0,0.01163,0.08605,0.72326,0.1,0.22448979591836735,0.05668934240362812,4,30.9,33.8,16.2,19.1,33.8,31,17.1,18.1,0.22555910543130991,0.20319488817891374,0.13929712460063898,0.11246006389776358,0.22939297124600638,0.0900958466453674,1.3,95.3,54.9,7.3,22.6,31.3,16.5,2.8,18.6,23648,962
410348000032,4103480,Benton County,97333,13-City: Small,6-Not eligible for either TAS or SWP,441,99,25,21.41,454,4103480,27,Corvallis School District,0.875,Adams Elementary School,0.00465,0.07442,0,0.01163,0.08605,0.72326,0.1,0.22448979591836735,0.05668934240362812,5,37.7,36.4,7.8,18.2,33.8,31,17.1,18.1,0.22555910543130991,0.20319488817891374,0.13929712460063898,0.11246006389776358,0.22939297124600638,0.0900958466453674,1.3,95.3,54.9,7.3,22.6,31.3,16.5,2.8,18.6,23648,962
410099000524,4100990,Lake County,97620,43-Rural: Remote,6-Not eligible for either TAS or SWP,8,NA,NA,8,206,4100990,498,Adel School District,0.81,Adel Elementary School,0.28571,0,0,0,0,0.71429,0,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,94.7,23.5,3,8.3,25.7,7.1,4.3,37.1,20501,647
410099000524,4100990,Lake County,97620,43-Rural: Remote,6-Not eligible for either TAS or SWP,8,NA,NA,8,206,4100990,498,Adel School District,0.81,Adel Elementary School,0.28571,0,0,0,0,0.71429,0,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,94.7,23.5,3,8.3,25.7,7.1,4.3,37.1,20501,647
410099000524,4100990,Lake County,97620,43-Rural: Remote,6-Not eligible for either TAS or SWP,8,NA,NA,8,206,4100990,498,Adel School District,0.81,Adel Elementary School,0.28571,0,0,0,0,0.71429,0,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,94.7,23.5,3,8.3,25.7,7.1,4.3,37.1,20501,647
410099000524,4100990,Lake County,97620,43-Rural: Remote,6-Not eligible for either TAS or SWP,8,NA,NA,8,206,4100990,498,Adel School District,0.81,Adel Elementary School,0.28571,0,0,0,0,0.71429,0,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,94.7,23.5,3,8.3,25.7,7.1,4.3,37.1,20501,647
410099000524,4100990,Lake County,97620,43-Rural: Remote,6-Not eligible for either TAS or SWP,8,NA,NA,8,206,4100990,498,Adel School District,0.81,Adel Elementary School,0.28571,0,0,0,0,0.71429,0,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,94.7,23.5,3,8.3,25.7,7.1,4.3,37.1,20501,647
410102000755,4101020,Malheur County,97901,42-Rural: Distant,5-Eligible for Title I SWP provides SWP program,206,93,27,22.25,234,4101020,707,Adrian School District,0.891,Adrian Elementary School,0,0,0,0,0.22167,0.7734,0.00493,0.45145631067961167,0.13106796116504854,3,7.1,28.6,42.9,21.4,26.8,44.7,19.5,8.9,0.2826086956521739,0.34782608695652173,0.2391304347826087,0,0.13043478260869565,0,6.1,88.7,19.9,11.1,3.1,17.8,29.8,7.6,27.2,19988,668
410102000755,4101020,Malheur County,97901,42-Rural: Distant,5-Eligible for Title I SWP provides SWP program,206,93,27,22.25,234,4101020,707,Adrian School District,0.891,Adrian Elementary School,0,0,0,0,0.22167,0.7734,0.00493,0.45145631067961167,0.13106796116504854,4,20,44,24,12,26.8,44.7,19.5,8.9,0.2826086956521739,0.34782608695652173,0.2391304347826087,0,0.13043478260869565,0,6.1,88.7,19.9,11.1,3.1,17.8,29.8,7.6,27.2,19988,668
410102000755,4101020,Malheur County,97901,42-Rural: Distant,5-Eligible for Title I SWP provides SWP program,206,93,27,22.25,234,4101020,707,Adrian School District,0.891,Adrian Elementary School,0,0,0,0,0.22167,0.7734,0.00493,0.45145631067961167,0.13106796116504854,5,45.5,45.5,9.1,0,26.8,44.7,19.5,8.9,0.2826086956521739,0.34782608695652173,0.2391304347826087,0,0.13043478260869565,0,6.1,88.7,19.9,11.1,3.1,17.8,29.8,7.6,27.2,19988,668
410102000755,4101020,Malheur County,97901,42-Rural: Distant,5-Eligible for Title I SWP provides SWP program,206,93,27,22.25,234,4101020,707,Adrian School District,0.891,Adrian Elementary School,0,0,0,0,0.22167,0.7734,0.00493,0.45145631067961167,0.13106796116504854,6,20,60,10,10,26.8,44.7,19.5,8.9,0.2826086956521739,0.34782608695652173,0.2391304347826087,0,0.13043478260869565,0,6.1,88.7,19.9,11.1,3.1,17.8,29.8,7.6,27.2,19988,668
410102000755,4101020,Malheur County,97901,42-Rural: Distant,5-Eligible for Title I SWP provides SWP program,206,93,27,22.25,234,4101020,707,Adrian School District,0.891,Adrian Elementary School,0,0,0,0,0.22167,0.7734,0.00493,0.45145631067961167,0.13106796116504854,7,28.6,42.9,23.8,4.8,26.8,44.7,19.5,8.9,0.2826086956521739,0.34782608695652173,0.2391304347826087,0,0.13043478260869565,0,6.1,88.7,19.9,11.1,3.1,17.8,29.8,7.6,27.2,19988,668
410102000755,4101020,Malheur County,97901,42-Rural: Distant,5-Eligible for Title I SWP provides SWP program,206,93,27,22.25,234,4101020,707,Adrian School District,0.891,Adrian Elementary School,0,0,0,0,0.22167,0.7734,0.00493,0.45145631067961167,0.13106796116504854,8,33.3,42.9,14.3,9.5,26.8,44.7,19.5,8.9,0.2826086956521739,0.34782608695652173,0.2391304347826087,0,0.13043478260869565,0,6.1,88.7,19.9,11.1,3.1,17.8,29.8,7.6,27.2,19988,668
410102000756,4101020,Malheur County,97901,42-Rural: Distant,6-Not eligible for either TAS or SWP,89,31,13,12.92,233,4101020,708,Adrian School District,0.891,Adrian High School,0.01124,0.01124,0,0,0.16854,0.78652,0.02247,0.34831460674157305,0.14606741573033707,NA,NA,NA,NA,NA,64.3,28.6,7.1,0,0.2826086956521739,0.34782608695652173,0.2391304347826087,0,0.13043478260869565,0,6.1,88.7,19.9,11.1,3.1,17.8,29.8,7.6,27.2,19988,668
411167000977,4111670,Lane County,97478,22-Suburb: Mid-size,6-Not eligible for either TAS or SWP,600,355,64,20.57,252,4111670,1353,Springfield School District,0.88,Agnes Stewart Middle School,0.00839,0.00503,0.00671,0.01007,0.26678,0.63926,0.06376,0.5916666666666667,0.10666666666666667,6,13.5,35.4,25.3,25.8,10.7,34,27.6,27.6,0.3006134969325153,0.26134969325153373,0.18282208588957055,0.12392638036809817,0.1165644171779141,0.014723926380368098,3.7,89.2,17.9,9.7,4.4,10.1,33.1,7.3,31.3,23662,921
411167000977,4111670,Lane County,97478,22-Suburb: Mid-size,6-Not eligible for either TAS or SWP,600,355,64,20.57,252,4111670,1353,Springfield School District,0.88,Agnes Stewart Middle School,0.00839,0.00503,0.00671,0.01007,0.26678,0.63926,0.06376,0.5916666666666667,0.10666666666666667,7,11,39.2,27.6,22.1,10.7,34,27.6,27.6,0.3006134969325153,0.26134969325153373,0.18282208588957055,0.12392638036809817,0.1165644171779141,0.014723926380368098,3.7,89.2,17.9,9.7,4.4,10.1,33.1,7.3,31.3,23662,921
411167000977,4111670,Lane County,97478,22-Suburb: Mid-size,6-Not eligible for either TAS or SWP,600,355,64,20.57,252,4111670,1353,Springfield School District,0.88,Agnes Stewart Middle School,0.00839,0.00503,0.00671,0.01007,0.26678,0.63926,0.06376,0.5916666666666667,0.10666666666666667,8,7.1,26.5,30.3,36.1,10.7,34,27.6,27.6,0.3006134969325153,0.26134969325153373,0.18282208588957055,0.12392638036809817,0.1165644171779141,0.014723926380368098,3.7,89.2,17.9,9.7,4.4,10.1,33.1,7.3,31.3,23662,921
410927000741,4109270,Malheur County,97914,32-Town: Distant,5-Eligible for Title I SWP provides SWP program,287,223,9,21.26,237,4109270,694,Ontario School District,0.891,Aiken Elementary School,0,0,0,0.01045,0.58885,0.35889,0.04181,0.7770034843205574,0.0313588850174216,3,14,21.1,28.1,36.8,14.4,28.8,26.1,30.7,0.2010348630078887,0.2280091610823649,0.1605734158961744,0.1216388158452795,0.198914242090084,0.0898295020782085,6.5,80.6,12.9,8.8,4.4,7.2,30.1,10.7,28.2,19988,668
410927000741,4109270,Malheur County,97914,32-Town: Distant,5-Eligible for Title I SWP provides SWP program,287,223,9,21.26,237,4109270,694,Ontario School District,0.891,Aiken Elementary School,0,0,0,0.01045,0.58885,0.35889,0.04181,0.7770034843205574,0.0313588850174216,4,14,25.6,25.6,34.9,14.4,28.8,26.1,30.7,0.2010348630078887,0.2280091610823649,0.1605734158961744,0.1216388158452795,0.198914242090084,0.0898295020782085,6.5,80.6,12.9,8.8,4.4,7.2,30.1,10.7,28.2,19988,668
410927000741,4109270,Malheur County,97914,32-Town: Distant,5-Eligible for Title I SWP provides SWP program,287,223,9,21.26,237,4109270,694,Ontario School District,0.891,Aiken Elementary School,0,0,0,0.01045,0.58885,0.35889,0.04181,0.7770034843205574,0.0313588850174216,5,15.1,39.6,24.5,20.8,14.4,28.8,26.1,30.7,0.2010348630078887,0.2280091610823649,0.1605734158961744,0.1216388158452795,0.198914242090084,0.0898295020782085,6.5,80.6,12.9,8.8,4.4,7.2,30.1,10.7,28.2,19988,668
411004000866,4110040,Multnomah County,97201,11-City: Large,6-Not eligible for either TAS or SWP,625,38,4,21.9,969,4110040,823,Portland School District,0.999,Ainsworth Elementary School,0.00623,0.07788,0.00467,0.00467,0.16511,0.65421,0.08723,0.0608,0.0064,3,64,22,9,5,69.1,20.3,7,3.7,0.18761220825852784,0.16786355475763015,0.12208258527827648,0.08886894075403949,0.1867145421903052,0.24685816876122083,2.1,96.5,68.4,5.3,33.9,33.9,7.2,1.9,17.1,30168,1094
411004000866,4110040,Multnomah County,97201,11-City: Large,6-Not eligible for either TAS or SWP,625,38,4,21.9,969,4110040,823,Portland School District,0.999,Ainsworth Elementary School,0.00623,0.07788,0.00467,0.00467,0.16511,0.65421,0.08723,0.0608,0.0064,4,73.7,14.7,6.3,5.3,69.1,20.3,7,3.7,0.18761220825852784,0.16786355475763015,0.12208258527827648,0.08886894075403949,0.1867145421903052,0.24685816876122083,2.1,96.5,68.4,5.3,33.9,33.9,7.2,1.9,17.1,30168,1094
411004000866,4110040,Multnomah County,97201,11-City: Large,6-Not eligible for either TAS or SWP,625,38,4,21.9,969,4110040,823,Portland School District,0.999,Ainsworth Elementary School,0.00623,0.07788,0.00467,0.00467,0.16511,0.65421,0.08723,0.0608,0.0064,5,69.8,23.6,5.7,0.9,69.1,20.3,7,3.7,0.18761220825852784,0.16786355475763015,0.12208258527827648,0.08886894075403949,0.1867145421903052,0.24685816876122083,2.1,96.5,68.4,5.3,33.9,33.9,7.2,1.9,17.1,30168,1094
411158001390,4111580,Lane County,97424,41-Rural: Fringe,6-Not eligible for either TAS or SWP,78,59,5,14.72,220,4111580,1791,South Lane School District,0.879,Al Kennedy High School,0.0274,0,0,0.0137,0.20548,0.75342,0,0.7564102564102564,0.0641025641025641,NA,NA,NA,NA,NA,21.4,50,14.3,14.3,0.26538716082064856,0.2501654533421575,0.18795499669093316,0.13898080741230973,0.13633355393778954,0.021178027796161483,3.5,88.7,18.7,9.2,6.9,9.1,32.9,9,31.8,23662,921
411004000867,4110040,Multnomah County,97212,11-City: Large,6-Not eligible for either TAS or SWP,730,36,5,21.6,798,4110040,824,Portland School District,0.999,Alameda Elementary School,0,0.01278,0,0.00994,0.05966,0.8054,0.11222,0.049315068493150684,0.00684931506849315,3,52.7,21.8,20,5.5,55.1,27.4,12.1,5.4,0.1302713987473904,0.13528183716075157,0.09352818371607516,0.08643006263048017,0.26430062630480167,0.29018789144050106,0.7,97.9,69.5,4.8,33.5,34,8.9,1.9,17.6,30168,1094
411004000867,4110040,Multnomah County,97212,11-City: Large,6-Not eligible for either TAS or SWP,730,36,5,21.6,798,4110040,824,Portland School District,0.999,Alameda Elementary School,0,0.01278,0,0.00994,0.05966,0.8054,0.11222,0.049315068493150684,0.00684931506849315,4,50.8,30.2,11.9,7.1,55.1,27.4,12.1,5.4,0.1302713987473904,0.13528183716075157,0.09352818371607516,0.08643006263048017,0.26430062630480167,0.29018789144050106,0.7,97.9,69.5,4.8,33.5,34,8.9,1.9,17.6,30168,1094
411004000867,4110040,Multnomah County,97212,11-City: Large,6-Not eligible for either TAS or SWP,730,36,5,21.6,798,4110040,824,Portland School District,0.999,Alameda Elementary School,0,0.01278,0,0.00994,0.05966,0.8054,0.11222,0.049315068493150684,0.00684931506849315,5,61.9,29.7,5.1,3.4,55.1,27.4,12.1,5.4,0.1302713987473904,0.13528183716075157,0.09352818371607516,0.08643006263048017,0.26430062630480167,0.29018789144050106,0.7,97.9,69.5,4.8,33.5,34,8.9,1.9,17.6,30168,1094
410927000739,4109270,Malheur County,97914,32-Town: Distant,5-Eligible for Title I SWP provides SWP program,388,302,31,21.56,207,4109270,692,Ontario School District,0.891,Alameda Elementary School,0.00252,0.00252,0,0.00504,0.58186,0.38287,0.02519,0.7783505154639175,0.07989690721649484,3,14.3,3.6,23.2,58.9,18.2,23.6,28.5,29.8,0.2010348630078887,0.2280091610823649,0.1605734158961744,0.1216388158452795,0.198914242090084,0.0898295020782085,6.5,80.6,12.9,8.8,4.4,7.2,30.1,10.7,28.2,19988,668
410927000739,4109270,Malheur County,97914,32-Town: Distant,5-Eligible for Title I SWP provides SWP program,388,302,31,21.56,207,4109270,692,Ontario School District,0.891,Alameda Elementary School,0.00252,0.00252,0,0.00504,0.58186,0.38287,0.02519,0.7783505154639175,0.07989690721649484,4,25.9,22.4,24.1,27.6,18.2,23.6,28.5,29.8,0.2010348630078887,0.2280091610823649,0.1605734158961744,0.1216388158452795,0.198914242090084,0.0898295020782085,6.5,80.6,12.9,8.8,4.4,7.2,30.1,10.7,28.2,19988,668
410927000739,4109270,Malheur County,97914,32-Town: Distant,5-Eligible for Title I SWP provides SWP program,388,302,31,21.56,207,4109270,692,Ontario School District,0.891,Alameda Elementary School,0.00252,0.00252,0,0.00504,0.58186,0.38287,0.02519,0.7783505154639175,0.07989690721649484,5,12.2,40.8,30.6,16.3,18.2,23.6,28.5,29.8,0.2010348630078887,0.2280091610823649,0.1605734158961744,0.1216388158452795,0.198914242090084,0.0898295020782085,6.5,80.6,12.9,8.8,4.4,7.2,30.1,10.7,28.2,19988,668
410927000739,4109270,Malheur County,97914,32-Town: Distant,5-Eligible for Title I SWP provides SWP program,388,302,31,21.56,207,4109270,692,Ontario School District,0.891,Alameda Elementary School,0.00252,0.00252,0,0.00504,0.58186,0.38287,0.02519,0.7783505154639175,0.07989690721649484,6,19,27.8,34.2,19,18.2,23.6,28.5,29.8,0.2010348630078887,0.2280091610823649,0.1605734158961744,0.1216388158452795,0.198914242090084,0.0898295020782085,6.5,80.6,12.9,8.8,4.4,7.2,30.1,10.7,28.2,19988,668
410112001577,4101120,Linn County,97322,13-City: Small,6-Not eligible for either TAS or SWP,151,85,10,18.3,157,4101120,3950,Greater Albany School District,0.925,Albany Options School,0.0069,0.01379,0,0.0069,0.22759,0.69655,0.048280000000000003,0.5629139072847682,0.06622516556291391,NA,NA,NA,NA,NA,4.5,20.5,36.4,38.6,0.2363517489375613,0.2876757110166721,0.18666230794377248,0.13239620791108206,0.14220333442301406,0.014710689767898006,3.7,89.7,19.8,10.1,5.8,10.6,29.8,8.5,32.6,25461,888
411224001668,4112240,Washington County,97224,21-Suburb: Large,6-Not eligible for either TAS or SWP,557,88,11,19.59,656,4112240,4364,Tigard-Tualatin School District,1.049,Alberta Rider Elementary School,0.0018600000000000001,0.11359,0.0018600000000000001,0.04097,0.18808,0.56238,0.09125,0.15798922800718132,0.019748653500897665,3,42.7,32,18.7,6.7,43.9,31.3,14.6,10.2,0.1471720461948475,0.18152206100088836,0.12851643470535978,0.113710393840687,0.294344092389695,0.13473497186852235,1.6,94.6,46.7,9.1,17.6,29,22.5,3,24.7,34401,1183
